pixel_id,latitude,longitude,reference_percentile,heat_days,threshold_used,temperature_trend,seasonal_means,annual_max,annual_min,annual_range
5_9,-12.976164279106488,-38.61408248787763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_10,-12.976164279106488,-38.605099335036435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_11,-12.976164279106488,-38.542217265148075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_12,-12.976164279106488,-38.53323411230688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_13,-12.976164279106488,-38.52425095946568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_14,-12.976164279106488,-38.515267806624486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_15,-12.976164279106488,-38.50628465378329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_16,-12.976164279106488,-38.49730150094209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_17,-12.976164279106488,-38.4883183481009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_18,-12.976164279106488,-38.47933519525971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_19,-12.976164279106488,-38.47035204241851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_20,-12.976164279106488,-38.461368889577315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_21,-12.976164279106488,-38.45238573673612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_22,-12.976164279106488,-38.44340258389492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_23,-12.976164279106488,-38.434419431053726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_24,-12.976164279106488,-38.42543627821254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_25,-12.976164279106488,-38.41645312537134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_26,-12.976164279106488,-38.407469972530144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_27,-12.976164279106488,-38.39848681968895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_28,-12.976164279106488,-38.38950366684775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_29,-12.976164279106488,-38.380520514006555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_30,-12.976164279106488,-38.37153736116536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_31,-12.976164279106488,-38.36255420832417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_32,-12.976164279106488,-38.35357105548297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_33,-12.976164279106488,-38.34458790264178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_34,-12.976164279106488,-38.33560474980058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_35,-12.976164279106488,-38.326621596959384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_36,-12.976164279106488,-38.31763844411819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_37,-12.976164279106488,-38.308655291277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_0,-12.967181126265293,-38.69493086344839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_1,-12.967181126265293,-38.685947710607195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_2,-12.967181126265293,-38.676964557766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_3,-12.967181126265293,-38.6679814049248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_4,-12.967181126265293,-38.658998252083606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_5,-12.967181126265293,-38.65001509924242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_6,-12.967181126265293,-38.64103194640122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_7,-12.967181126265293,-38.632048793560024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_8,-12.967181126265293,-38.62306564071883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_9,-12.967181126265293,-38.61408248787763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_10,-12.967181126265293,-38.605099335036435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_11,-12.967181126265293,-38.542217265148075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_12,-12.967181126265293,-38.53323411230688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_13,-12.967181126265293,-38.52425095946568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_14,-12.967181126265293,-38.515267806624486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_15,-12.967181126265293,-38.50628465378329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_16,-12.967181126265293,-38.49730150094209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_17,-12.967181126265293,-38.4883183481009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_18,-12.967181126265293,-38.47933519525971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_19,-12.967181126265293,-38.47035204241851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_20,-12.967181126265293,-38.461368889577315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_21,-12.967181126265293,-38.45238573673612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_22,-12.967181126265293,-38.44340258389492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
